PRODUCCION;PROD_ACUMULADA;RECHAZO_TOTAL;RECHAZO_CAJA_MANGA;RECHAZO_LINEA;RECUP_PROCESO;RECUP_TRADICIONAL;PRODUCT_PROCESO;PRODUCT_TOTAL;COSTO_PROY_ACTUAL;TIPO_PRODUCTO;AB_RECUPERADO;RPS;DISPON_REFERENCIAL;PERDIDAS_EQUIPOS;PERDIDAS_PROCESO;INGRESO_ACIDULACION;SET_POINT_ACIDULACION;CANTIDAD_LF;CANT_TOTAL_LF_DIEMME;CANTIDAD_LF_DIEMME_1;PORC_CANT_LF_DIEMME_1;CANTIDAD_LF_DIEMME_2;PORC_CANT_LF_DIEMME_2;CONSU_PULPA_DIEMME_1;CONSU_PULPA_DIEMME_2;CANTIDAD_LF_HOESCH;N_FILTRADAS_DIEMME;N_FILTRADAS_HOESCH;LF_BAJADO;PORC_CARGA_DIEMME;PORC_APORTE_AM_DIEMME;M3_FILTRADA_DIEMME;M3_FILTRADA_HOESCH;B2O3_AM_INGRESO_RX;LEY_ULEXITA;ULEXITA_DIARIA;ACIDO_SULFU_DIARIO;FACT_DESV_PESOMETRO;PORC_CARGA_PNNEVIS;PORC_ENVASADO_H4;REC_PROCESO_ACUM;REC_TRADICIONAL_ACUM;FILTRADAS_DMM_1;FILTRADAS_DMM_2;PROD_ACUMULADA_MES;PROD_ACUMULADA_TOTAL;PROMEDIO_D1;PROMEDIO_D2;PROM_TOTAL_DIEMME;PROMEDIO_HOESCH;CONSUMO_AGUA_DIA;PORC_PRODUCCION_SACOS
301,500;4583,334;42,800;10,300;10,263;0,884;0,752;113,830;114,899;616,300;Estándar/ABK;44,321;11,000;0,840;0,638;0,362;37,749;42,000;2587,200;1796,520;983,864;0,548;812,656;0,452;1270,000;1049,000;790,680;32,000;24,000;2648,800;0,694;0,324;56,141;32,945;54,000;16,540;1160,580;165,413;0,857;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
239,900;4583,334;24,700;23,325;10,263;0,683;0,752;95,970;114,899;694,000;Estándar;44,321;11,000;0,796;0,469;0,531;33,284;42,000;2510,200;1872,100;888,582;0,475;983,518;0,525;1301,000;1440,000;638,100;39,000;18,000;2510,200;0,746;0,335;48,003;35,450;58,460;16,780;1178,130;183,440;0,775;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
294,805;4583,334;44,600;10,775;10,263;0,745;0,752;111,300;114,899;692,300;Estándar;44,321;11,000;0,840;0,580;0,420;36,048;42,000;2648,800;2033,830;999,138;0,491;1034,692;0,509;1377,000;1426,000;614,970;39,000;19,000;2648,800;0,768;0,293;52,149;32,367;55,840;16,780;1327,500;199,102;0,803;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
280,560;4583,334;44,775;31,400;10,263;0,690;0,752;101,810;114,899;692,700;Estándar;44,321;11,000;0,874;0,336;0,664;35,725;42,000;2756,600;2100,500;1060,342;0,505;1040,158;0,495;1471,000;1443,000;656,100;42,000;19,000;2756,600;0,762;0,295;50,012;34,532;53,980;16,460;1390,810;210,801;0,832;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
220,805;4583,334;37,930;28,350;10,263;0,939;0,752;119,483;114,899;741,100;Estándar;44,321;11,000;0,586;0,956;0,044;34,782;42,000;1570,800;970,300;437,206;0,451;533,094;0,549;766,000;934,000;600,500;25,000;11,000;1848,000;0,618;0,304;38,812;54,591;54,400;16,170;818,910;109,690;0,881;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
18,775;4583,334;2,200;26,000;10,263;0,102;0,752;32,080;114,899;670,800;Estándar;44,321;11,000;0,186;0,848;0,152;7,824;42,000;800,800;371,980;85,800;0,231;286,180;0,769;158,000;527,000;428,820;13,000;14,000;585,200;0,465;0,348;28,614;30,630;55,810;16,240;635,350;99,538;0,775;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
263,275;4583,334;28,600;20,000;10,263;0,667;0,752;106,520;114,899;670,800;Estándar;44,321;11,000;0,784;0,613;0,387;38,096;41,750;2487,100;1732,572;885,432;0,511;847,140;0,489;1318,000;1261,000;754,528;42,000;28,000;2471,700;0,697;0,420;41,252;26,947;58,270;16,600;1338,440;208,901;0,782;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
256,625;4583,334;46,500;13,325;10,263;0,742;0,752;111,093;114,899;670,800;Estándar;44,321;11,000;0,732;0,754;0,246;37,614;42,000;2310,000;1898,195;991,813;0,523;906,381;0,477;1486,000;1358,000;411,805;41,000;11,000;2310,000;0,822;0,396;46,297;37,437;58,880;16,500;1180,480;179,335;0,809;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
251,000;4583,334;41,000;19,300;10,263;0,748;0,752;105,840;114,899;663,800;Estándar;44,321;11,000;0,752;0,654;0,346;36,987;42,000;2363,900;2114,450;1123,254;0,531;991,196;0,469;1480,000;1306,000;249,450;40,000;9,000;2371,600;0,894;0,356;52,861;27,717;58,370;16,200;1165,890;168,965;0,798;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
215,200;4583,334;42,250;14,000;10,263;0,720;0,752;110,930;114,899;677,300;Estándar;44,321;11,000;0,617;0,846;0,154;31,820;42,000;1948,100;1681,321;861,720;0,513;819,601;0,487;1248,000;1187,000;266,779;35,000;8,000;1945,800;0,863;0,369;48,038;33,347;59,960;16,600;1013,680;157,210;0,778;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
257,500;4583,334;35,500;20,066;10,263;0,750;0,752;106,840;114,899;669,900;Estándar;44,321;11,000;0,764;0,649;0,351;37,283;42,000;2402,400;2235,917;1168,639;0,523;1067,278;0,477;1568,000;1432,000;166,483;42,000;7,000;2410,100;0,931;0,397;53,236;23,783;61,320;16,110;1199,490;175,570;0,804;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
271,880;4583,334;45,080;28,542;10,263;0,739;0,752;110,690;114,899;664,000;Estándar;44,321;11,000;0,779;0,687;0,313;36,620;42,000;2456,300;1615,717;663,018;0,410;952,699;0,590;959,000;1378,000;840,583;34,000;27,000;2456,300;0,658;0,300;47,521;31,133;57,980;16,000;1294,880;189,666;0,793;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
320,172;4583,334;46,400;48,772;10,263;0,750;0,752;110,840;114,899;646,300;Estándar;44,321;11,000;0,776;0,694;0,306;37,281;42,000;2448,600;1957,264;992,733;0,507;964,531;0,493;1408,000;1368,000;491,336;39,000;16,000;2448,600;0,799;0,358;50,186;30,708;58,470;16,800;1212,570;180,944;0,809;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
337,400;4583,334;32,300;42,600;10,263;0,741;0,752;112,270;114,899;646,300;Estándar;44,321;11,000;0,832;0,618;0,382;39,103;42,000;2633,400;1877,014;991,042;0,528;885,972;0,472;1462,000;1307,000;756,386;41,000;26,000;2625,700;0,713;0,329;45,781;29,092;55,100;16,810;1332,810;198,084;0,785;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
345,300;4583,334;36,300;44,300;10,263;0,712;0,752;112,980;114,899;646,300;Estándar;44,321;11,000;0,845;0,605;0,395;37,885;42,000;2664,200;1688,835;872,315;0,517;816,520;0,483;1282,000;1200,000;975,365;37,000;33,000;2664,200;0,634;0,310;45,644;29,557;54,420;17,140;1389,190;221,276;0,786;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
295,625;4583,334;37,400;10,700;10,263;0,742;0,752;114,264;114,899;638,100;Estándar;44,321;11,000;0,820;0,690;0,310;38,010;42,000;2579,500;1850,508;890,859;0,481;959,649;0,519;1308,000;1409,000;728,992;40,000;26,000;2587,200;0,717;0,313;46,263;28,038;56,530;16,660;1346,170;201,440;0,789;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
114,600;4583,334;19,800;21,269;10,263;0,862;0,752;136,540;114,899;659,800;Estándar;44,321;11,000;0,295;1,000;0,441;33,017;36,000;839,300;642,253;322,753;0,503;319,501;0,497;397,000;393,000;197,047;12,000;6,000;839,300;0,765;0,302;53,521;32,841;55,860;17,310;432,380;62,630;0,845;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
90,391;4583,334;16,425;15,410;10,263;0,530;0,752;90,300;114,899;659,800;Estándar;44,321;11,000;0,317;0,882;0,118;22,154;31,486;1008,700;630,184;299,628;0,475;330,557;0,525;465,000;513,000;378,516;14,000;14,000;1001,000;0,625;0,320;45,013;27,037;62,090;15,880;605,030;84,260;0,832;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
319,554;4583,334;19,115;26,400;10,263;0,790;0,752;122,420;114,899;648,400;Estándar;44,321;11,000;0,827;0,969;0,031;34,787;40,400;2610,300;1753,916;872,785;0,498;881,131;0,502;1255,000;1267,000;856,384;37,000;23,000;2610,300;0,672;0,313;47,403;37,234;59,620;16,780;1357,100;201,305;0,789;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
305,494;4583,334;19,720;19,800;10,263;0,747;0,752;112,392;114,899;545,669;Estándar;44,321;11,000;0,862;0,543;0,457;30,609;36,000;2718,100;1538,425;782,341;0,509;756,084;0,491;1162,000;1123,000;1179,675;36,000;37,000;2718,100;0,566;0,271;42,734;31,883;59,780;16,270;1415,720;207,856;0,770;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
335,590;4583,334;35,200;29,870;10,263;0,774;0,752;120,731;114,899;545,669;Estándar;44,321;11,000;0,881;0,809;0,191;32,222;36,000;2787,400;1655,144;803,575;0,486;851,570;0,514;1172,000;1242,000;1132,256;38,000;37,000;2779,700;0,594;0,282;43,556;30,602;56,850;16,510;1478,000;224,592;0,781;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
337,025;4583,334;33,300;28,600;10,263;0,780;0,752;119,590;114,899;545,669;Estándar;44,321;11,000;0,893;0,696;0,304;31,870;36,000;2818,200;1722,722;902,447;0,524;820,275;0,476;1252,000;1138,000;1095,478;37,000;36,000;2818,200;0,611;0,274;46,560;30,430;54,990;15,860;1534,380;224,267;0,822;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
315,275;4583,334;21,600;21,100;10,263;0,754;0,752;117,997;114,899;545,669;Estándar/ABK/GI;44,321;11,000;0,847;0,749;0,251;28,624;34,619;2671,900;1284,032;602,811;0,469;681,221;0,531;961,000;1086,000;1387,868;30,000;41,000;2671,900;0,481;0,242;42,801;33,850;53,270;16,820;1398,930;211,920;0,742;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
313,367;4583,334;26,830;25,700;10,263;0,788;0,752;119,000;114,899;545,669;Estándar/ABK/GI;44,321;11,000;0,835;0,809;0,191;32,356;32,000;2625,700;1857,139;1164,797;0,627;692,341;0,373;1568,000;932,000;768,561;34,000;24,000;2633,400;0,707;0,304;54,622;32,023;57,120;16,320;1371,330;193,344;0,814;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
315,773;4583,334;32,450;14,200;10,263;0,766;0,752;115,520;114,899;545,669;Estándar ;44,321;11,000;0,866;0,613;0,387;29,626;32,000;2741,200;1718,531;1102,192;0,641;616,339;0,359;1588,000;888,000;1023,000;34,000;33,000;2733,000;0,627;0,304;50,545;31,000;60,390;16,180;1435,440;193,340;0,891;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
303,175;4583,334;33,100;25,300;10,263;0,757;0,752;124,990;114,899;629,000;Estándar ;44,321;11,000;0,781;1,000;0,441;28,870;32,000;2425,500;2096,311;1029,995;0,491;1066,316;0,509;1503,000;1556,000;329,000;40,000;7,000;2425,500;0,864;0,341;52,408;47,000;60,590;16,320;1266,760;181,210;0,845;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
340,363;4583,334;44,438;27,000;10,263;0,738;0,752;121,770;114,899;629,000;Estándar ;44,321;11,000;0,886;0,878;0,122;27,745;32,000;2795,100;1862,217;932,142;0,501;930,075;0,499;1353,000;1350,000;933,000;38,000;29,000;2795,100;0,666;0,308;49,006;32,172;58,690;16,250;1471,800;215,020;0,822;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
356,777;4583,334;46,177;25,500;10,263;0,760;0,752;123,230;114,899;629,000;Estándar ;44,321;11,000;0,920;1,000;0,441;28,544;32,000;2895,200;2171,582;757,381;0,349;1414,201;0,651;1431,000;2672,000;724,000;42,000;23,000;2895,200;0,750;0,335;51,704;31,478;58,690;16,450;1492,130;220,290;0,830;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
362,470;4583,334;50,640;26,400;10,263;0,752;0,752;123,230;114,899;629,000;Estándar ;44,321;11,000;0,934;1,000;0,441;28,275;32,000;2941,400;2073,848;956,823;0,461;1117,025;0,539;1308,000;1527,000;868,000;40,000;31,000;2941,400;0,705;0,300;51,846;28,000;54,790;16,450;1535,650;223,860;0,833;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
298,350;4583,334;33,800;19,600;10,263;0,710;0,752;111,660;114,899;627,000;Estándar ;44,321;11,000;0,847;0,569;0,431;29,046;32,000;2671,900;2045,933;939,693;0,459;1106,240;0,541;1309,000;1541,000;626,000;40,000;21,000;2671,900;0,766;0,312;51,148;29,810;55,410;16,640;1339,450;207,620;0,839;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
331,102;4583,334;36,700;26,077;10,263;0,738;0,752;112,570;114,899;624,600;Estándar ;44,321;11,000;0,932;0,182;0,818;27,018;32,000;2941,400;2116,743;999,814;0,472;1116,929;0,528;1383,000;1545,000;825,000;40,000;27,000;2941,400;0,720;0,288;52,919;30,556;57,530;17,020;1441,600;225,500;0,763;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
326,550;4583,334;27,800;36,400;10,263;0,742;0,752;116,190;114,899;623,000;Estándar ;44,321;11,000;0,891;0,545;0,455;29,545;32,000;2810,500;2030,674;1014,547;0,500;1016,127;0,500;1284,000;1286,000;780,000;36,000;30,000;2810,500;0,723;0,263;56,408;26,000;56,370;16,510;1411,130;211,420;0,823;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
324,065;4583,334;23,640;29,625;10,263;0,753;0,752;124,890;114,899;621,100;Estándar ;44,321;11,000;0,835;1,000;0,441;30,720;32,000;2594,900;1890,157;867,275;0,459;1022,882;0,541;1137,000;1341,000;705,000;35,000;22,000;2594,900;0,728;0,305;54,004;32,045;56,430;16,220;1350,440;193,620;0,852;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
344,700;4583,334;12,200;22,000;10,263;0,670;0,752;102,760;114,899;618,300;Estándar ;44,321;11,000;0,945;0,033;0,967;30,433;32,000;2979,900;1820,025;866,616;0,476;953,409;0,524;1318,000;1450,000;1160,000;42,000;34,000;2979,900;0,611;0,302;43,334;34,118;59,880;16,320;1576,570;240,480;0,810;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
362,324;4583,334;17,624;33,000;10,263;0,722;0,752;114,050;114,899;561,600;Estándar ;44,321;11,000;0,915;0,342;0,658;31,244;32,000;2887,500;1685,762;787,622;0,467;898,140;0,533;1126,000;1284,000;1202,000;38,000;44,000;2887,500;0,584;0,280;44,362;27,318;58,250;16,690;1538,710;233,240;0,784;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
353,905;4583,334;28,830;26,400;10,263;0,718;0,752;113,120;114,899;561,600;Estándar ;44,321;11,000;0,918;0,304;0,696;29,888;32,000;2895,200;1679,778;778,888;0,464;900,890;0,536;1130,000;1307,000;1215,000;40,000;45,000;2895,200;0,580;0,286;41,994;27,000;58,620;16,380;1566,380;238,450;0,829;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
299,850;4583,334;28,700;18,700;10,263;0,746;0,752;108,400;114,899;569,900;Estándar ;44,321;11,000;0,854;0,485;0,515;30,139;31,430;2671,900;1595,626;771,942;0,484;823,684;0,516;1104,000;1178,000;1076,000;35,000;33,000;2695,000;0,597;0,273;45,589;32,606;59,300;15,900;1386,300;197,630;0,839;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
327,200;4583,334;35,600;55,000;10,263;0,734;0,752;106,540;114,899;572,400;Estándar ;44,321;11,000;0,888;0,341;0,659;27,134;30,000;2825,900;1262,959;633,564;0,502;629,395;0,498;912,000;906,000;1563,000;30,000;49,000;2802,800;0,447;0,219;42,099;31,898;54,850;15,650;1463,040;208,080;0,845;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
350,300;4583,334;36,700;85,500;10,263;0,721;0,752;106,930;114,899;573,300;Estándar ;44,321;11,000;0,908;0,261;0,739;27,902;30,000;2849,000;1490,611;734,013;0,492;756,598;0,508;1040,000;1072,000;1358,000;34,000;48,000;2864,400;0,523;0,244;43,842;28,292;55,480;15,810;1512,490;218,720;0,857;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
343,800;4583,334;26,800;45,700;10,263;0,683;0,752;104,120;114,899;575,000;Estándar ;44,321;11,000;0,954;0,559;1,000;27,900;30,000;3010,700;1414,770;843,556;0,596;571,214;0,404;1081,000;732,000;1596,000;30,000;58,000;3010,700;0,470;0,211;47,159;27,517;52,770;15,630;1654,520;235,810;0,814;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
331,750;4583,334;15,800;27,000;10,263;0,688;0,752;112,680;114,899;574,300;Estándar;44,321;11,000;0,871;0,518;0,482;29,680;30,000;2741,200;809,251;607,581;0,751;201,670;0,249;946,000;314,000;1932,000;24,000;67,000;2748,900;0,295;0,184;33,719;28,836;56,980;16,400;1546,070;233,350;0,808;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
344,565;4583,334;35,890;23,000;10,263;0,730;0,752;117,490;114,899;574,300;Estándar ;44,321;11,000;0,876;0,652;0,348;29,096;30,000;2772,000;1441,401;688,984;0,478;752,417;0,522;1021,000;1115,000;1331,000;35,000;50,000;2764,300;0,520;0,307;41,183;26,620;57,140;16,510;1517,820;226,630;0,778;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
342,822;4583,334;37,772;20,500;10,263;0,744;0,752;116,750;114,899;574,300;Estándar ;44,321;11,000;0,886;0,587;0,413;30,229;30,000;2802,800;1899,025;1129,053;0,595;769,972;0,405;1569,000;1070,000;904,000;40,000;31,000;2795,100;0,678;0,355;47,476;29,161;59,250;16,580;1489,300;221,990;0,782;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
283,875;4583,334;15,500;47,900;10,263;0,740;0,752;117,400;114,899;592,600;Estándar ;44,321;11,000;0,725;0,872;0,128;30,257;30,000;2294,600;1424,657;967,056;0,679;457,601;0,321;721,536;341,423;869,943;31,000;25,000;2286,900;0,621;0,318;45,957;34,798;62,030;16,820;1214,870;183,092;0,755;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
